"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"122","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.34583029423256767"
"125","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3839965450826371"
"126","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.38257488591207833"
"127","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3622575597959247"
"128","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.37364229872537025"
"129","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.38764037790395645"
"130","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3897013840553482"
"131","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.31349538446631575"
"132","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3248718374665792"
"133","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3023124306879828"
"134","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.320696286237508"
"135","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.32257366321539443"
"136","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.32179329515838623"
"137","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3284160091526469"
"138","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.33032907180327564"
"139","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.33153648642578754"
"140","0","1","0.01","0.02","0.01","12","0.7878788","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3243816542298464"
"141","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.25651056874452366"
"142","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.2756023693555208"
"143","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.2681643286756579"
"144","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.268744739768563"
"145","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.25344092880037317"
"146","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.28226580624219855"
"147","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.28104921850550446"
"149","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.25581910147594417"
"148","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.27280219372767894"
"150","0","1","0.01","0.02","0.01","12","0.8235294","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.28730187716123057"
"151","0","1","0.01","0.02","0.01","12","0.8571429","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.2398536205472421"
"152","0","1","0.01","0.02","0.01","12","0.8571429","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.20162181273377877"
"154","0","1","0.01","0.02","0.01","12","0.8571429","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.23735600470013418"
"155","0","1","0.01","0.02","0.01","12","0.8571429","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.2222729331739339"
"153","0","1","0.01","0.02","0.01","12","0.8571429","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.22295365926130897"
